"species","smooth_or_full_indices","year","predicted_mean_abundance","lower_95percent_CL","upper_95percent_CL"
"Ruddy Turnstone","Full",1980,7.517235,4.394173,14.1089775
"Ruddy Turnstone","Full",1981,8.079415,4.79809925,15.089405
"Ruddy Turnstone","Full",1982,6.34034,3.78326575,11.8524225
"Ruddy Turnstone","Full",1983,9.250135,5.4430775,17.4088975
"Ruddy Turnstone","Full",1984,10.95045,6.51916375,20.26854
"Ruddy Turnstone","Full",1985,8.304705,5.0133435,15.1407525
"Ruddy Turnstone","Full",1986,6.126845,3.76950175,11.266235
"Ruddy Turnstone","Full",1987,9.305885,5.7284755,17.1052625
"Ruddy Turnstone","Full",1988,6.80115,4.15901675,12.6175625
"Ruddy Turnstone","Full",1989,5.22663,3.2482,9.84338525
"Ruddy Turnstone","Full",1990,4.38561,2.66834025,8.00936425
"Ruddy Turnstone","Full",1991,4.755915,2.817522,8.75908775
"Ruddy Turnstone","Full",1992,4.403585,2.71315775,8.20582775
"Ruddy Turnstone","Full",1993,7.009495,4.33515325,12.7320275
"Ruddy Turnstone","Full",1994,5.907045,3.653876,10.710945
"Ruddy Turnstone","Full",1995,3.57857,2.2298135,6.4556735
"Ruddy Turnstone","Full",1996,4.2971,2.69275975,7.83830825
"Ruddy Turnstone","Full",1997,3.01121,1.875078,5.503729
"Ruddy Turnstone","Full",1998,5.836735,3.62994525,10.568035
"Ruddy Turnstone","Full",1999,2.722485,1.7173285,5.017517
"Ruddy Turnstone","Full",2000,3.85179,2.396267,6.98653675
"Ruddy Turnstone","Full",2001,4.46687,2.74631125,8.09639025
"Ruddy Turnstone","Full",2002,2.948995,1.84405225,5.452552
"Ruddy Turnstone","Full",2003,3.614035,2.2139695,6.65532475
"Ruddy Turnstone","Full",2004,2.88381,1.77971825,5.21610175
"Ruddy Turnstone","Full",2005,2.278745,1.42830975,4.1779635
"Ruddy Turnstone","Full",2006,1.992245,1.21647125,3.63002925
"Ruddy Turnstone","Full",2007,2.43614,1.49633825,4.498405
"Ruddy Turnstone","Full",2008,2.562005,1.569029,4.633914
"Ruddy Turnstone","Full",2009,2.476835,1.53916625,4.58964175
"Ruddy Turnstone","Full",2010,2.5921,1.6144285,4.85888125
"Ruddy Turnstone","Full",2011,3.854145,2.3512895,7.1393915
"Ruddy Turnstone","Full",2012,1.889265,1.13753075,3.5200705
"Ruddy Turnstone","Full",2013,1.877205,1.12086575,3.48602975
"Ruddy Turnstone","Full",2014,1.747525,1.03976975,3.36244125
"Ruddy Turnstone","Full",2015,1.716685,1.023018,3.238349
"Ruddy Turnstone","Full",2016,2.13699,1.25371675,4.0690255
"Ruddy Turnstone","Full",2017,1.60105,0.94076225,3.069681
"Ruddy Turnstone","Full",2018,1.59681,0.88286395,3.17506425
"Ruddy Turnstone","Full",2019,2.318625,1.2570865,4.750942
"Ruddy Turnstone","Smooth",1980,8.283775,4.81522825,16.04958
"Ruddy Turnstone","Smooth",1981,8.23446,4.8568175,15.7519425
"Ruddy Turnstone","Smooth",1982,8.145165,4.799866,15.376165
"Ruddy Turnstone","Smooth",1983,8.04043,4.755168,14.981755
"Ruddy Turnstone","Smooth",1984,7.8729,4.72691175,14.36601
"Ruddy Turnstone","Smooth",1985,7.622735,4.62743,13.97469
"Ruddy Turnstone","Smooth",1986,7.34,4.4919315,13.334955
"Ruddy Turnstone","Smooth",1987,7.030165,4.32007525,12.721725
"Ruddy Turnstone","Smooth",1988,6.698895,4.14086475,12.051715
"Ruddy Turnstone","Smooth",1989,6.370195,3.9282375,11.4464425
"Ruddy Turnstone","Smooth",1990,6.036615,3.74577025,10.8691325
"Ruddy Turnstone","Smooth",1991,5.73924,3.568656,10.3054325
"Ruddy Turnstone","Smooth",1992,5.45221,3.4020915,9.7901425
"Ruddy Turnstone","Smooth",1993,5.18388,3.2204895,9.3060185
"Ruddy Turnstone","Smooth",1994,4.925255,3.07258475,8.8788035
"Ruddy Turnstone","Smooth",1995,4.67745,2.94283125,8.47189025
"Ruddy Turnstone","Smooth",1996,4.445435,2.813722,8.05610475
"Ruddy Turnstone","Smooth",1997,4.22884,2.68529275,7.61295475
"Ruddy Turnstone","Smooth",1998,4.0274,2.54873325,7.21748975
"Ruddy Turnstone","Smooth",1999,3.83572,2.41409475,6.83784875
"Ruddy Turnstone","Smooth",2000,3.64404,2.29420825,6.51972175
"Ruddy Turnstone","Smooth",2001,3.473945,2.18704375,6.23150625
"Ruddy Turnstone","Smooth",2002,3.3064,2.0867125,5.95402075
"Ruddy Turnstone","Smooth",2003,3.15265,1.99306275,5.61007375
"Ruddy Turnstone","Smooth",2004,2.998345,1.898522,5.31387
"Ruddy Turnstone","Smooth",2005,2.857135,1.804428,5.06038025
"Ruddy Turnstone","Smooth",2006,2.74531,1.74194025,4.821194
"Ruddy Turnstone","Smooth",2007,2.64077,1.67403225,4.6340175
"Ruddy Turnstone","Smooth",2008,2.546265,1.6077135,4.5150445
"Ruddy Turnstone","Smooth",2009,2.45778,1.5525815,4.3811785
"Ruddy Turnstone","Smooth",2010,2.367915,1.48817425,4.285833
"Ruddy Turnstone","Smooth",2011,2.289415,1.419259,4.14661225
"Ruddy Turnstone","Smooth",2012,2.20298,1.372561,4.03540325
"Ruddy Turnstone","Smooth",2013,2.133575,1.33006525,3.949793
"Ruddy Turnstone","Smooth",2014,2.07695,1.2800385,3.887199
"Ruddy Turnstone","Smooth",2015,2.02456,1.23122975,3.816521
"Ruddy Turnstone","Smooth",2016,1.9911,1.19089625,3.7802475
"Ruddy Turnstone","Smooth",2017,1.966575,1.15493525,3.78878225
"Ruddy Turnstone","Smooth",2018,1.956395,1.12485375,3.7874635
"Ruddy Turnstone","Smooth",2019,1.94857,1.1017465,3.8653225
"Red Knot","Full",1980,117.542,39.5537625,477.072975
"Red Knot","Full",1981,93.83205,33.5141625,382.981475
"Red Knot","Full",1982,71.9062,25.0475125,301.039725
"Red Knot","Full",1983,66.9087,22.873965,287.025625
"Red Knot","Full",1984,123.116,42.38813,497.5001
"Red Knot","Full",1985,85.28345,30.61174,347.03145
"Red Knot","Full",1986,61.965,22.49488,253.36305
"Red Knot","Full",1987,45.37795,16.2589625,193.16635
"Red Knot","Full",1988,51.8407,18.6017525,205.525525
"Red Knot","Full",1989,56.4267,20.104295,231.293725
"Red Knot","Full",1990,40.97115,14.71566,169.542025
"Red Knot","Full",1991,53.9866,19.4919225,207.357725
"Red Knot","Full",1992,63.3791,22.30267,251.189825
"Red Knot","Full",1993,66.3571,23.89334,261.560775
"Red Knot","Full",1994,60.55665,21.6266475,238.5857
"Red Knot","Full",1995,54.09505,19.8585975,227.5421
"Red Knot","Full",1996,38.21385,13.4206,150.9182
"Red Knot","Full",1997,42.9699,14.8991525,163.132475
"Red Knot","Full",1998,43.57325,15.0827925,173.7781
"Red Knot","Full",1999,48.77985,17.08397,192.95285
"Red Knot","Full",2000,62.2245,21.68222,245.608875
"Red Knot","Full",2001,97.9473,35.9037275,381.9261
"Red Knot","Full",2002,38.94615,13.5070775,155.78595
"Red Knot","Full",2003,60.15055,20.235005,245.1582
"Red Knot","Full",2004,49.7952,18.0049375,197.6052
"Red Knot","Full",2005,22.4788,7.881631,90.80862
"Red Knot","Full",2006,21.21975,7.35148375,90.796195
"Red Knot","Full",2007,20.97275,7.14677225,79.9819150000001
"Red Knot","Full",2008,20.30255,7.0665505,80.5965475
"Red Knot","Full",2009,16.8737,5.757808,68.5620625
"Red Knot","Full",2010,12.0905,4.07612425,49.2425475
"Red Knot","Full",2011,24.18545,8.282917,97.6094025000001
"Red Knot","Full",2012,14.45185,4.9177165,56.3644100000001
"Red Knot","Full",2013,13.0483,4.32303825,52.2220325
"Red Knot","Full",2014,10.5298,3.500917,41.5649525
"Red Knot","Full",2015,5.613775,1.8802635,22.5215
"Red Knot","Full",2016,5.90097,1.9414295,22.7441475
"Red Knot","Full",2017,5.023485,1.68501,21.43072
"Red Knot","Full",2018,5.152465,1.68824875,21.0432375
"Red Knot","Full",2019,3.644315,1.119349,15.249455
"Red Knot","Smooth",1980,84.1924,28.4209375,354.25295
"Red Knot","Smooth",1981,85.0419,29.727365,359.0527
"Red Knot","Smooth",1982,85.44515,30.0026675,355.3786
"Red Knot","Smooth",1983,84.35885,30.1323,343.590975
"Red Knot","Smooth",1984,82.0198,29.28821,331.611575
"Red Knot","Smooth",1985,78.11895,28.487545,310.944975
"Red Knot","Smooth",1986,73.91305,27.236505,295.48785
"Red Knot","Smooth",1987,69.9708,25.7711275,276.41555
"Red Knot","Smooth",1988,66.20045,24.322475,256.6412
"Red Knot","Smooth",1989,62.96335,23.239615,248.373525
"Red Knot","Smooth",1990,60.9369,22.471995,242.29295
"Red Knot","Smooth",1991,59.9856,21.713485,233.1882
"Red Knot","Smooth",1992,59.26745,21.5083025,226.90145
"Red Knot","Smooth",1993,58.66775,21.222335,225.5742
"Red Knot","Smooth",1994,57.9397,20.92249,220.83175
"Red Knot","Smooth",1995,56.99205,20.5542975,221.38245
"Red Knot","Smooth",1996,56.04195,20.38056,221.51745
"Red Knot","Smooth",1997,55.28925,19.9567325,224.1127
"Red Knot","Smooth",1998,54.56965,19.65243,224.50405
"Red Knot","Smooth",1999,53.6055,19.3480075,220.33855
"Red Knot","Smooth",2000,52.37055,18.956565,215.2126
"Red Knot","Smooth",2001,50.2166,18.235375,207.5948
"Red Knot","Smooth",2002,47.0644,16.8651725,194.2821
"Red Knot","Smooth",2003,42.73845,15.5313725,175.504525
"Red Knot","Smooth",2004,37.94935,13.6209,153.337325
"Red Knot","Smooth",2005,33.28575,12.06103,131.8498
"Red Knot","Smooth",2006,29.11435,10.551735,113.81425
"Red Knot","Smooth",2007,25.20405,9.1988165,97.0884975
"Red Knot","Smooth",2008,21.9477,8.0605435,85.229785
"Red Knot","Smooth",2009,19.2447,7.04996375,74.617825
"Red Knot","Smooth",2010,16.6956,6.13512325,65.316055
"Red Knot","Smooth",2011,14.47335,5.31047075,57.295155
"Red Knot","Smooth",2012,12.4293,4.52687475,49.57444
"Red Knot","Smooth",2013,10.57935,3.77741175,41.89307
"Red Knot","Smooth",2014,9.00276,3.23197175,35.626
"Red Knot","Smooth",2015,7.750275,2.75257875,30.827545
"Red Knot","Smooth",2016,6.82084,2.397529,27.16357
"Red Knot","Smooth",2017,6.135805,2.10316025,24.3851675
"Red Knot","Smooth",2018,5.623535,1.8570645,22.6122825
"Red Knot","Smooth",2019,5.152605,1.655309,21.6161825
"Stilt Sandpiper","Full",1980,4.4586,1.54469025,20.4733525
"Stilt Sandpiper","Full",1981,4.987225,1.70180525,22.1434175
"Stilt Sandpiper","Full",1982,3.6776,1.269429,16.1749575
"Stilt Sandpiper","Full",1983,3.869455,1.2921735,16.962255
"Stilt Sandpiper","Full",1984,4.170435,1.44629975,18.7592875
"Stilt Sandpiper","Full",1985,3.873695,1.3764265,17.0133275
"Stilt Sandpiper","Full",1986,1.99207,0.68146165,8.86158575
"Stilt Sandpiper","Full",1987,2.57898,0.869158775,11.0399475
"Stilt Sandpiper","Full",1988,3.339155,1.036752,14.0660625
"Stilt Sandpiper","Full",1989,1.68958,0.56811685,7.240746
"Stilt Sandpiper","Full",1990,2.6836,0.944754175,11.2713825
"Stilt Sandpiper","Full",1991,2.157055,0.74103845,9.43431425
"Stilt Sandpiper","Full",1992,1.064795,0.374001775,4.7872485
"Stilt Sandpiper","Full",1993,3.271125,1.0789795,14.6546575
"Stilt Sandpiper","Full",1994,2.863135,0.976277175,12.1228425
"Stilt Sandpiper","Full",1995,0.9876955,0.320303475,4.49112
"Stilt Sandpiper","Full",1996,1.82698,0.59088875,8.18678275
"Stilt Sandpiper","Full",1997,2.82202,0.936262375,11.820455
"Stilt Sandpiper","Full",1998,2.080045,0.7067922,9.193943
"Stilt Sandpiper","Full",1999,2.836865,0.954623225,11.9260025
"Stilt Sandpiper","Full",2000,2.0132,0.6780219,9.00018425
"Stilt Sandpiper","Full",2001,2.623965,0.91206915,11.1043425
"Stilt Sandpiper","Full",2002,1.520395,0.500774725,6.5894955
"Stilt Sandpiper","Full",2003,2.457555,0.822198325,11.2593825
"Stilt Sandpiper","Full",2004,0.7791615,0.240987675,3.544605
"Stilt Sandpiper","Full",2005,1.060195,0.3429539,4.58284825
"Stilt Sandpiper","Full",2006,1.115115,0.350731525,5.04982675
"Stilt Sandpiper","Full",2007,1.602115,0.531049425,7.07916525
"Stilt Sandpiper","Full",2008,0.7916785,0.259455675,3.546855
"Stilt Sandpiper","Full",2009,0.609772,0.195426225,2.79452
"Stilt Sandpiper","Full",2010,0.9875635,0.317223175,4.576205
"Stilt Sandpiper","Full",2011,0.757025,0.2321478,3.51095375
"Stilt Sandpiper","Full",2012,1.6535,0.488159525,7.90330425
"Stilt Sandpiper","Full",2013,0.77716,0.2333655,3.57496325
"Stilt Sandpiper","Full",2014,0.446211,0.131896625,2.08865275
"Stilt Sandpiper","Full",2015,1.19754,0.350404,5.503862
"Stilt Sandpiper","Full",2016,0.6694415,0.19899475,3.10494725
"Stilt Sandpiper","Full",2017,2.08761,0.59150955,10.19892
"Stilt Sandpiper","Full",2018,0.585664,0.149742175,3.0982385
"Stilt Sandpiper","Full",2019,0.933381,0.250707025,4.71844275
"Stilt Sandpiper","Smooth",1980,4.165565,1.40588825,18.9252575
"Stilt Sandpiper","Smooth",1981,4.04804,1.39103375,17.7221525
"Stilt Sandpiper","Smooth",1982,3.934695,1.367341,17.33304
"Stilt Sandpiper","Smooth",1983,3.81723,1.331503,16.91621
"Stilt Sandpiper","Smooth",1984,3.653725,1.2574585,16.01863
"Stilt Sandpiper","Smooth",1985,3.50184,1.2333915,15.037695
"Stilt Sandpiper","Smooth",1986,3.33323,1.18119825,14.24377
"Stilt Sandpiper","Smooth",1987,3.17077,1.11762375,13.7566025
"Stilt Sandpiper","Smooth",1988,3.017875,1.050205,12.991285
"Stilt Sandpiper","Smooth",1989,2.86945,0.995156725,12.4008675
"Stilt Sandpiper","Smooth",1990,2.75537,0.953233975,11.86403
"Stilt Sandpiper","Smooth",1991,2.649715,0.9106892,11.3869575
"Stilt Sandpiper","Smooth",1992,2.55364,0.8726513,10.9207075
"Stilt Sandpiper","Smooth",1993,2.456155,0.8464696,10.5072075
"Stilt Sandpiper","Smooth",1994,2.36815,0.819621975,10.108295
"Stilt Sandpiper","Smooth",1995,2.28191,0.800535825,9.61603175
"Stilt Sandpiper","Smooth",1996,2.20924,0.77256955,9.24221350000001
"Stilt Sandpiper","Smooth",1997,2.129315,0.727828525,8.88872725000001
"Stilt Sandpiper","Smooth",1998,2.042075,0.6968074,8.610241
"Stilt Sandpiper","Smooth",1999,1.959645,0.6654893,8.1825985
"Stilt Sandpiper","Smooth",2000,1.87015,0.63856785,7.81847575
"Stilt Sandpiper","Smooth",2001,1.767875,0.601236625,7.45290525000001
"Stilt Sandpiper","Smooth",2002,1.65894,0.577795,7.14371175
"Stilt Sandpiper","Smooth",2003,1.559005,0.5392144,6.77583475000001
"Stilt Sandpiper","Smooth",2004,1.474005,0.50346215,6.34103625
"Stilt Sandpiper","Smooth",2005,1.38694,0.471153,5.97866975
"Stilt Sandpiper","Smooth",2006,1.305675,0.441571625,5.66408150000001
"Stilt Sandpiper","Smooth",2007,1.23605,0.417395075,5.32947650000001
"Stilt Sandpiper","Smooth",2008,1.177065,0.3965918,5.0487625
"Stilt Sandpiper","Smooth",2009,1.125315,0.381541225,4.896707
"Stilt Sandpiper","Smooth",2010,1.076405,0.36391885,4.73243775
"Stilt Sandpiper","Smooth",2011,1.038555,0.34991735,4.635603
"Stilt Sandpiper","Smooth",2012,1.01105,0.33860725,4.503167
"Stilt Sandpiper","Smooth",2013,0.992891,0.32723745,4.352997
"Stilt Sandpiper","Smooth",2014,0.983929,0.323124,4.30363275
"Stilt Sandpiper","Smooth",2015,0.9850205,0.3226445,4.30737275
"Stilt Sandpiper","Smooth",2016,0.988919,0.318075775,4.28924500000001
"Stilt Sandpiper","Smooth",2017,0.9997825,0.31168795,4.40774025
"Stilt Sandpiper","Smooth",2018,1.01776,0.310526125,4.48309575
"Stilt Sandpiper","Smooth",2019,1.03137,0.3151408,4.6093115
"Sanderling","Full",1980,412.048,189.89425,1089.7795
"Sanderling","Full",1981,579.4975,270.5781,1531.3625
"Sanderling","Full",1982,495.269,230.366525,1276.27175
"Sanderling","Full",1983,771.368,358.65965,2031.0815
"Sanderling","Full",1984,1028.415,479.762675,2666.94275
"Sanderling","Full",1985,955.436,448.377375,2395.38975
"Sanderling","Full",1986,381.1075,180.02,993.313174999999
"Sanderling","Full",1987,667.7925,307.888825,1669.78625
"Sanderling","Full",1988,485.393,215.8458,1200.9885
"Sanderling","Full",1989,625.868,295.5798,1592.15125
"Sanderling","Full",1990,449.0735,205.6328,1142.89175
"Sanderling","Full",1991,407.993,181.829675,1051.483
"Sanderling","Full",1992,532.2275,241.439575,1338.35775
"Sanderling","Full",1993,833.829,381.61145,2054.9445
"Sanderling","Full",1994,841.3505,383.460375,2121.10375
"Sanderling","Full",1995,679.128,299.516175,1694.34125
"Sanderling","Full",1996,705.7885,320.104225,1846.48225
"Sanderling","Full",1997,530.7415,244.56295,1363.564
"Sanderling","Full",1998,850.818,396.446475,2136.8725
"Sanderling","Full",1999,528.6555,242.1786,1346.12025
"Sanderling","Full",2000,867.0655,404.032675,2192.8735
"Sanderling","Full",2001,749.119,348.3919,1902.5795
"Sanderling","Full",2002,678.5875,305.971425,1783.32025
"Sanderling","Full",2003,672.8845,310.769175,1795.92525
"Sanderling","Full",2004,590.7845,277.354275,1483.55775
"Sanderling","Full",2005,694.5145,316.8811,1773.94075
"Sanderling","Full",2006,321.687,141.7687,855.130125
"Sanderling","Full",2007,478.349,208.14525,1222.1525
"Sanderling","Full",2008,437.066,197.8302,1108.50225
"Sanderling","Full",2009,336.512,152.67075,869.30535
"Sanderling","Full",2010,303.069,135.24125,784.64695
"Sanderling","Full",2011,1100.025,508.244125,2849.3025
"Sanderling","Full",2012,232.4345,106.531,620.07085
"Sanderling","Full",2013,255.48,114.420875,658.326725
"Sanderling","Full",2014,219.2905,103.61645,605.6377
"Sanderling","Full",2015,248.6495,109.70495,655.904375
"Sanderling","Full",2016,518.096,235.37895,1375.83525
"Sanderling","Full",2017,387.95,175.16975,1045.69275
"Sanderling","Full",2018,280.3855,112.8834,724.774475
"Sanderling","Full",2019,373.6945,159.67555,1039.24125
"Sanderling","Smooth",1980,606.761,264.034975,1609.565
"Sanderling","Smooth",1981,615.878,271.6183,1613.35275
"Sanderling","Smooth",1982,627.174,279.395725,1625.87125
"Sanderling","Smooth",1983,637.0705,286.0698,1641.8
"Sanderling","Smooth",1984,643.6655,291.621075,1654.89075
"Sanderling","Smooth",1985,649.459,295.26535,1667.2945
"Sanderling","Smooth",1986,652.735,299.5865,1666.97875
"Sanderling","Smooth",1987,656.4075,301.238875,1679.165
"Sanderling","Smooth",1988,658.8745,303.570575,1693.39675
"Sanderling","Smooth",1989,662.042,305.48915,1698.73775
"Sanderling","Smooth",1990,664.703,307.256425,1714.6175
"Sanderling","Smooth",1991,668.6085,309.3312,1727.086
"Sanderling","Smooth",1992,672.7105,310.483275,1733.96675
"Sanderling","Smooth",1993,678.522,313.40405,1740.82475
"Sanderling","Smooth",1994,683.1015,312.9672,1731.4955
"Sanderling","Smooth",1995,684.24,312.569025,1723.013
"Sanderling","Smooth",1996,682.769,310.745875,1727.954
"Sanderling","Smooth",1997,679.935,310.75195,1729.039
"Sanderling","Smooth",1998,674.5035,307.9656,1706.3425
"Sanderling","Smooth",1999,665.522,303.115625,1676.847
"Sanderling","Smooth",2000,653.1675,297.532675,1635.44975
"Sanderling","Smooth",2001,637.498,292.18725,1604.51725
"Sanderling","Smooth",2002,618.042,285.35605,1569.259
"Sanderling","Smooth",2003,596.344,274.48745,1514.827
"Sanderling","Smooth",2004,574.0305,264.764875,1458.971
"Sanderling","Smooth",2005,552.4985,253.43595,1405.27025
"Sanderling","Smooth",2006,528.293,245.3002,1358.51175
"Sanderling","Smooth",2007,504.135,235.443325,1309.7375
"Sanderling","Smooth",2008,482.1525,225.67695,1244.65525
"Sanderling","Smooth",2009,461.203,216.84955,1186.63925
"Sanderling","Smooth",2010,442.498,207.778375,1147.90175
"Sanderling","Smooth",2011,424.473,198.674875,1103.12725
"Sanderling","Smooth",2012,408.953,188.7111,1055.2925
"Sanderling","Smooth",2013,395.4705,181.487225,1022.7375
"Sanderling","Smooth",2014,384.1385,174.384825,1000.141
"Sanderling","Smooth",2015,374.4505,170.173025,977.259625
"Sanderling","Smooth",2016,365.8295,164.3251,957.54035
"Sanderling","Smooth",2017,357.367,159.4397,945.386325
"Sanderling","Smooth",2018,349.9265,154.399975,936.816175
"Sanderling","Smooth",2019,343.247,151.023925,927.201024999999
"Dunlin","Full",1980,12.4416,5.76003625,30.24334
"Dunlin","Full",1981,20.19015,9.8875485,51.113695
"Dunlin","Full",1982,9.4712,4.58067225,22.272875
"Dunlin","Full",1983,13.2421,6.435179,31.065215
"Dunlin","Full",1984,19.1186,9.841145,44.7539075
"Dunlin","Full",1985,15.38055,7.54793375,38.0115625
"Dunlin","Full",1986,9.009365,4.409105,21.922555
"Dunlin","Full",1987,5.39745,2.688448,12.3626425
"Dunlin","Full",1988,4.548585,2.26332775,10.8355175
"Dunlin","Full",1989,5.618505,2.8108385,13.7806425
"Dunlin","Full",1990,6.174805,2.92203575,14.877585
"Dunlin","Full",1991,7.56788,3.76491275,17.52931
"Dunlin","Full",1992,4.250005,2.073393,10.438845
"Dunlin","Full",1993,7.86344,3.94121175,18.599065
"Dunlin","Full",1994,5.731995,2.85284775,13.801525
"Dunlin","Full",1995,4.611295,2.3189345,11.29362
"Dunlin","Full",1996,3.176045,1.6347425,7.90549425
"Dunlin","Full",1997,6.578155,3.340616,15.6139525
"Dunlin","Full",1998,4.71447,2.3426045,11.15083
"Dunlin","Full",1999,3.01264,1.534315,7.080876
"Dunlin","Full",2000,4.291765,2.11006225,9.970297
"Dunlin","Full",2001,9.650675,4.996578,23.202315
"Dunlin","Full",2002,7.097115,3.6457005,17.0359425
"Dunlin","Full",2003,6.477625,3.24601,15.3937975
"Dunlin","Full",2004,5.37245,2.67055875,12.2233775
"Dunlin","Full",2005,2.86838,1.4140235,6.570135
"Dunlin","Full",2006,2.762855,1.251511,6.72379575
"Dunlin","Full",2007,4.881055,2.40905175,11.5557575
"Dunlin","Full",2008,5.038485,2.521893,11.9349775
"Dunlin","Full",2009,2.9813,1.50063225,7.5556345
"Dunlin","Full",2010,2.34741,1.22732325,5.36719475
"Dunlin","Full",2011,3.78295,1.9744755,8.970806
"Dunlin","Full",2012,2.03305,0.936506475000001,4.96243775
"Dunlin","Full",2013,4.113205,1.895597,10.5656275
"Dunlin","Full",2014,3.03275,1.47866975,7.1102905
"Dunlin","Full",2015,2.268885,1.07722575,5.472093
"Dunlin","Full",2016,2.52944,1.259003,6.16991175
"Dunlin","Full",2017,2.24636,1.06357675,5.46519775
"Dunlin","Full",2018,2.11336,0.9477107,5.2000175
"Dunlin","Full",2019,1.197655,0.52574625,2.93670325
"Dunlin","Smooth",1980,13.549,6.12883,34.5950325
"Dunlin","Smooth",1981,13.19355,6.144,33.07737
"Dunlin","Smooth",1982,12.72295,6.09571325,31.3255175
"Dunlin","Smooth",1983,12.16535,5.99134675,29.9480725
"Dunlin","Smooth",1984,11.50315,5.823673,28.1146925
"Dunlin","Smooth",1985,10.7763,5.48957325,26.0077225
"Dunlin","Smooth",1986,9.91588,5.107819,23.979435
"Dunlin","Smooth",1987,9.14667,4.72409575,22.230685
"Dunlin","Smooth",1988,8.41651,4.337568,20.5443675
"Dunlin","Smooth",1989,7.7662,3.99720925,19.1674475
"Dunlin","Smooth",1990,7.26524,3.7230455,17.847845
"Dunlin","Smooth",1991,6.8518,3.53015925,16.671045
"Dunlin","Smooth",1992,6.49768,3.350029,15.9183925
"Dunlin","Smooth",1993,6.19552,3.1664415,15.112205
"Dunlin","Smooth",1994,5.95122,2.99770325,14.384845
"Dunlin","Smooth",1995,5.721945,2.88821075,13.94795
"Dunlin","Smooth",1996,5.56043,2.81450225,13.438835
"Dunlin","Smooth",1997,5.42064,2.7605,13.0164275
"Dunlin","Smooth",1998,5.319975,2.70293025,12.7536075
"Dunlin","Smooth",1999,5.24818,2.696524,12.59116
"Dunlin","Smooth",2000,5.18955,2.65801925,12.503925
"Dunlin","Smooth",2001,5.09548,2.64854625,12.2084225
"Dunlin","Smooth",2002,4.995585,2.60394625,11.9675675
"Dunlin","Smooth",2003,4.847395,2.52815175,11.603835
"Dunlin","Smooth",2004,4.659555,2.43199575,11.1019775
"Dunlin","Smooth",2005,4.435835,2.3158995,10.4325275
"Dunlin","Smooth",2006,4.216495,2.16759375,9.98733325
"Dunlin","Smooth",2007,3.993775,2.06068125,9.4826045
"Dunlin","Smooth",2008,3.79488,1.955447,8.896118
"Dunlin","Smooth",2009,3.602425,1.884159,8.29989825
"Dunlin","Smooth",2010,3.41341,1.765654,7.82915875
"Dunlin","Smooth",2011,3.225785,1.67157975,7.38927825
"Dunlin","Smooth",2012,3.042135,1.55507975,6.9846715
"Dunlin","Smooth",2013,2.871145,1.4523795,6.62223275000001
"Dunlin","Smooth",2014,2.723885,1.37330325,6.41789875
"Dunlin","Smooth",2015,2.61092,1.293798,6.1127685
"Dunlin","Smooth",2016,2.51819,1.23730775,5.896807
"Dunlin","Smooth",2017,2.457535,1.18649675,5.8305575
"Dunlin","Smooth",2018,2.41414,1.14327,5.83567275
"Dunlin","Smooth",2019,2.377915,1.07677075,5.81923975
"Baird's Sandpiper","Full",1980,0.1410965,0.0830954775,0.29512565
"Baird's Sandpiper","Full",1981,0.0960134,0.0579669075,0.196230625
"Baird's Sandpiper","Full",1982,0.158061,0.096133805,0.320427375
"Baird's Sandpiper","Full",1983,0.09001965,0.05154053,0.192799725
"Baird's Sandpiper","Full",1984,0.153065,0.090991915,0.31236825
"Baird's Sandpiper","Full",1985,0.1104855,0.0666777025,0.22704805
"Baird's Sandpiper","Full",1986,0.0759039,0.04169837,0.16349635
"Baird's Sandpiper","Full",1987,0.0969721,0.058174965,0.1998034
"Baird's Sandpiper","Full",1988,0.0656157,0.03529121,0.1422557
"Baird's Sandpiper","Full",1989,0.0725776,0.042986965,0.146710625
"Baird's Sandpiper","Full",1990,0.07133635,0.0414847875,0.152167625
"Baird's Sandpiper","Full",1991,0.1166655,0.06978606,0.24666835
"Baird's Sandpiper","Full",1992,0.0663274,0.039676215,0.141492675
"Baird's Sandpiper","Full",1993,0.1116905,0.0662171775,0.24358715
"Baird's Sandpiper","Full",1994,0.100166,0.058684025,0.2034937
"Baird's Sandpiper","Full",1995,0.1144625,0.0676711575,0.23589955
"Baird's Sandpiper","Full",1996,0.0944383,0.0545126575,0.192312325
"Baird's Sandpiper","Full",1997,0.09824465,0.061683845,0.196634575
"Baird's Sandpiper","Full",1998,0.09068175,0.0545167175,0.187022575
"Baird's Sandpiper","Full",1999,0.1016575,0.061248305,0.2076647
"Baird's Sandpiper","Full",2000,0.0450014,0.026220595,0.0949632275000001
"Baird's Sandpiper","Full",2001,0.2104635,0.130049725,0.42925325
"Baird's Sandpiper","Full",2002,0.08106385,0.047367895,0.168842675
"Baird's Sandpiper","Full",2003,0.175066,0.101208475,0.368798275
"Baird's Sandpiper","Full",2004,0.1168865,0.069665835,0.2367402
"Baird's Sandpiper","Full",2005,0.1134495,0.0608183975,0.2457774
"Baird's Sandpiper","Full",2006,0.0969473,0.054022185,0.203899775
"Baird's Sandpiper","Full",2007,0.145603,0.08472614,0.29993025
"Baird's Sandpiper","Full",2008,0.0945883,0.053884455,0.20124925
"Baird's Sandpiper","Full",2009,0.04069255,0.02150892,0.0901224575
