"trend","lci","uci","start_year","end_year","trend_type","index_type","retransformation_type","Region"
-2.94868393425929,-5.7051489349601,0.307055975764138,1974,2019,"endpoint","standard","standard",NA
-2.1533757588924,-6.06080219817561,2.46170891685759,2004,2019,"endpoint","standard","standard",NA
-3.08455373015094,-5.72987989229552,-0.0607497126650422,1974,2019,"slope","standard","standard",NA
-3.02963593338187,-6.11987352373741,0.463014220585929,2004,2019,"slope","standard","standard",NA
-3.67119023219075,-5.60707647745934,-1.83130225253179,1974,2019,"endpoint","standard","standard","Composite"
-3.83287819829328,-5.89527047253295,-1.90909988714413,1974,2019,"endpoint","standard","standard","Atlantic Canada"
-0.562915191518367,-3.48756115278193,2.42641072703037,1974,2019,"endpoint","standard","standard","East Inland"
-1.64755665848123,-7.0746787592368,4.79327122452165,1974,2019,"endpoint","standard","standard","Midcontinental"
-4.26130175072195,-6.36280363065076,-2.06289693201063,1974,2019,"endpoint","standard","standard","Northeast US Coastal"
-4.28227430654979,-9.00733878890346,0.536499827572603,1974,2019,"endpoint","standard","standard","Ontario"
-3.74482280953227,-4.64112052767934,-2.87097580851528,1974,2019,"slope","standard","standard","Composite"
-3.86260579919375,-4.81426188068701,-2.94221599336998,1974,2019,"slope","standard","standard","Atlantic Canada"
-1.21776066524004,-2.85776657519418,0.362663993690799,1974,2019,"slope","standard","standard","East Inland"
-3.27476020051213,-5.97707361931198,-0.458184202010964,1974,2019,"slope","standard","standard","Midcontinental"
-4.88569131677951,-6.07718503739115,-3.74827051513436,1974,2019,"slope","standard","standard","Northeast US Coastal"
-2.22331614932239,-3.92820535728007,-0.507892272629788,1974,2019,"slope","standard","standard","Ontario"
-3.66913969632359,-5.59550368395121,-1.83218389744342,1974,2019,"endpoint","standard","lognormal_only","Composite"
-3.83287819829328,-5.89527047253295,-1.90909988714413,1974,2019,"endpoint","standard","lognormal_only","Atlantic Canada"
-0.562915191518367,-3.48756115278194,2.42641072703037,1974,2019,"endpoint","standard","lognormal_only","East Inland"
-1.64755665848123,-7.0746787592368,4.79327122452165,1974,2019,"endpoint","standard","lognormal_only","Midcontinental"
-4.26130175072195,-6.36280363065076,-2.06289693201063,1974,2019,"endpoint","standard","lognormal_only","Northeast US Coastal"
-4.28227430654979,-9.00733878890346,0.536499827572603,1974,2019,"endpoint","standard","lognormal_only","Ontario"
-3.70447052074334,-5.54861385820625,-1.97144347237756,1974,2019,"endpoint","standard","none","Composite"
-3.83287819829328,-5.89527047253295,-1.90909988714413,1974,2019,"endpoint","standard","none","Atlantic Canada"
-0.562915191518367,-3.48756115278193,2.42641072703037,1974,2019,"endpoint","standard","none","East Inland"
-1.64755665848123,-7.0746787592368,4.79327122452165,1974,2019,"endpoint","standard","none","Midcontinental"
-4.26130175072195,-6.36280363065076,-2.06289693201063,1974,2019,"endpoint","standard","none","Northeast US Coastal"
-4.28227430654979,-9.00733878890346,0.536499827572603,1974,2019,"endpoint","standard","none","Ontario"
-1.94831286880402,-6.16686351770222,2.77186650873638,2004,2019,"endpoint","standard","standard","Composite"
-2.27308389366188,-6.75123514036226,2.79312108258901,2004,2019,"endpoint","standard","standard","Atlantic Canada"
2.65270954793196,-4.44391701921305,10.7742831474732,2004,2019,"endpoint","standard","standard","East Inland"
1.02942393391257,-13.0179847386256,17.3590481497091,2004,2019,"endpoint","standard","standard","Midcontinental"
-3.18596214863453,-9.34443426466482,3.07441274011867,2004,2019,"endpoint","standard","standard","Northeast US Coastal"
-7.96540142947953,-17.5039328311598,1.24174638910467,2004,2019,"endpoint","standard","standard","Ontario"
-3.40504103078851,-5.99462259661183,-0.805901489780568,2004,2019,"slope","standard","standard","Composite"
-3.87534089340546,-6.66528442679834,-1.21573970245567,2004,2019,"slope","standard","standard","Atlantic Canada"
3.58622305314926,-1.49918060846985,9.23532640465855,2004,2019,"slope","standard","standard","East Inland"
0.236802944089404,-8.72267909849253,11.1312699558644,2004,2019,"slope","standard","standard","Midcontinental"
-6.46253274066435,-10.7336689052221,-2.63328385806523,2004,2019,"slope","standard","standard","Northeast US Coastal"
-11.0871832849834,-17.2102405681058,-5.01618092187625,2004,2019,"slope","standard","standard","Ontario"
