"trend","lci","uci","start_year","end_year","trend_type","index_type","retransformation_type","Region"
-6.60433842512648,-19.0705020709987,3.73179577350423,1974,2019,"endpoint","standard","standard",NA
-5.24530182550743,-16.7504372111051,3.81994511277537,1974,2019,"slope","standard","standard",NA
-13.1965280798916,-34.7411168169007,10.4698292815075,2004,2019,"slope","standard","standard",NA
-6.66693198754629,-19.194056463698,3.67027738517269,1974,2019,"endpoint","smoothed","standard",NA
-13.2189832402176,-35.0653712038221,10.4952059636657,2004,2019,"endpoint","smoothed","standard",NA
-9.0494791790782,-12.4935605275766,-2.90424259129079,1974,2019,"endpoint","smoothed","standard","Composite"
-6.05089831171552,-8.91957393399595,-3.27795740248111,1974,2019,"endpoint","smoothed","standard","Atlantic Canada"
-1.09269986992669,-9.07172655915492,8.1613347107016,1974,2019,"endpoint","smoothed","standard","East Inland"
-15.5883738467905,-35.9928136130985,7.52890360007271,1974,2019,"endpoint","smoothed","standard","Midcontinental"
-12.7346025280959,-14.8512974566533,-10.5409330672462,1974,2019,"endpoint","smoothed","standard","Northeast US Coastal"
-7.68070962477156,-14.783868853355,-0.387128109418239,1974,2019,"endpoint","smoothed","standard","Ontario"
-9.16984771485309,-12.5593863076671,-3.17452421839235,1974,2019,"endpoint","smoothed","lognormal_only","Composite"
-6.05089831171552,-8.91957393399595,-3.27795740248111,1974,2019,"endpoint","smoothed","lognormal_only","Atlantic Canada"
-1.09269986992669,-9.07172655915492,8.1613347107016,1974,2019,"endpoint","smoothed","lognormal_only","East Inland"
-15.5883738467905,-35.9928136130985,7.52890360007271,1974,2019,"endpoint","smoothed","lognormal_only","Midcontinental"
-12.7346025280959,-14.8512974566533,-10.5409330672462,1974,2019,"endpoint","smoothed","lognormal_only","Northeast US Coastal"
-7.68070962477156,-14.7838688533551,-0.387128109418239,1974,2019,"endpoint","smoothed","lognormal_only","Ontario"
-9.61899428444565,-12.5767656645299,-4.8253079748609,1974,2019,"endpoint","smoothed","none","Composite"
-6.05089831171552,-8.91957393399595,-3.27795740248111,1974,2019,"endpoint","smoothed","none","Atlantic Canada"
-1.09269986992669,-9.07172655915492,8.1613347107016,1974,2019,"endpoint","smoothed","none","East Inland"
-15.5883738467905,-35.9928136130985,7.52890360007271,1974,2019,"endpoint","smoothed","none","Midcontinental"
-12.7346025280959,-14.8512974566533,-10.5409330672462,1974,2019,"endpoint","smoothed","none","Northeast US Coastal"
-7.68070962477156,-14.783868853355,-0.387128109418239,1974,2019,"endpoint","smoothed","none","Ontario"
-15.0961725548886,-23.8696123728365,2.73171379317542,2004,2019,"endpoint","smoothed","standard","Composite"
-12.3639026226525,-19.5444075558096,-4.71052010494911,2004,2019,"endpoint","smoothed","standard","Atlantic Canada"
-3.14189300421016,-24.9910975831105,25.4827405873844,2004,2019,"endpoint","smoothed","standard","East Inland"
-14.9618511737082,-59.2085970227898,60.4037687120543,2004,2019,"endpoint","smoothed","standard","Midcontinental"
-24.3722857816004,-29.5820200225041,-18.9451923564452,2004,2019,"endpoint","smoothed","standard","Northeast US Coastal"
-12.7526349588484,-28.4604232306203,6.71204367076903,2004,2019,"endpoint","smoothed","standard","Ontario"
-15.3889678446892,-24.0224456729119,2.17086513249443,2004,2019,"endpoint","smoothed","lognormal_only","Composite"
-12.3639026226525,-19.5444075558096,-4.71052010494911,2004,2019,"endpoint","smoothed","lognormal_only","Atlantic Canada"
-3.14189300421016,-24.9910975831105,25.4827405873844,2004,2019,"endpoint","smoothed","lognormal_only","East Inland"
-14.9618511737082,-59.2085970227898,60.4037687120543,2004,2019,"endpoint","smoothed","lognormal_only","Midcontinental"
-24.3722857816004,-29.5820200225041,-18.9451923564452,2004,2019,"endpoint","smoothed","lognormal_only","Northeast US Coastal"
-12.7526349588484,-28.4604232306203,6.71204367076903,2004,2019,"endpoint","smoothed","lognormal_only","Ontario"
-16.620838320042,-24.1158026144079,-2.89106408854467,2004,2019,"endpoint","smoothed","none","Composite"
-12.3639026226525,-19.5444075558096,-4.71052010494911,2004,2019,"endpoint","smoothed","none","Atlantic Canada"
-3.14189300421016,-24.9910975831105,25.4827405873844,2004,2019,"endpoint","smoothed","none","East Inland"
-14.9618511737082,-59.2085970227898,60.4037687120543,2004,2019,"endpoint","smoothed","none","Midcontinental"
-24.3722857816004,-29.5820200225041,-18.9451923564452,2004,2019,"endpoint","smoothed","none","Northeast US Coastal"
-12.7526349588484,-28.4604232306203,6.71204367076903,2004,2019,"endpoint","smoothed","none","Ontario"
-8.83132341788352,-12.3706527062649,-2.42401657721484,1974,2019,"endpoint","standard","standard","Composite"
-6.23021538091453,-9.49866937986072,-2.87531440700726,1974,2019,"endpoint","standard","standard","Atlantic Canada"
-1.01126080200031,-10.8054541497333,9.64342237123647,1974,2019,"endpoint","standard","standard","East Inland"
-15.3450321142298,-36.8788014169127,10.7839526756603,1974,2019,"endpoint","standard","standard","Midcontinental"
-12.4874883912581,-14.7063993929773,-10.2933917245383,1974,2019,"endpoint","standard","standard","Northeast US Coastal"
-8.66503653265643,-19.5810583200944,2.35117977194722,1974,2019,"endpoint","standard","standard","Ontario"
-7.43773732257487,-9.19129153986037,-4.54469559005427,1974,2019,"slope","standard","standard","Composite"
-3.68449897913186,-4.53497388816764,-2.80907043606206,1974,2019,"slope","standard","standard","Atlantic Canada"
1.40810536778729,-4.04059146760875,6.63151459304447,1974,2019,"slope","standard","standard","East Inland"
-15.318343681567,-33.7223932615498,4.24056039374013,1974,2019,"slope","standard","standard","Midcontinental"
-10.1079221141526,-11.3688243680558,-8.88071103314196,1974,2019,"slope","standard","standard","Northeast US Coastal"
-7.92916205651355,-11.8951622569609,-3.94486277051826,1974,2019,"slope","standard","standard","Ontario"
-15.7008516565601,-24.7720565869045,2.70832951251941,2004,2019,"endpoint","standard","standard","Composite"
-10.3653475483122,-19.11861433451,-1.25086612197523,2004,2019,"endpoint","standard","standard","Atlantic Canada"
-7.54457856442828,-31.0019007018728,22.4114933142136,2004,2019,"endpoint","standard","standard","East Inland"
-11.9989852419054,-62.2918904203417,76.9681730513301,2004,2019,"endpoint","standard","standard","Midcontinental"
-25.3387051882792,-30.4670163126189,-20.1477746886574,2004,2019,"endpoint","standard","standard","Northeast US Coastal"
-22.690783196071,-40.6781235817244,-3.30467961930006,2004,2019,"endpoint","standard","standard","Ontario"
-15.7219097836348,-23.2654380517242,-0.72482904026142,2004,2019,"slope","standard","standard","Composite"
-10.9796582397836,-14.8907062583063,-7.00879729467638,2004,2019,"slope","standard","standard","Atlantic Canada"
-3.26306487273378,-25.0722116169597,24.7448038771719,2004,2019,"slope","standard","standard","East Inland"
-13.5847718871604,-59.782126845224,67.2494669843608,2004,2019,"slope","standard","standard","Midcontinental"
-25.3986429495384,-30.0646210850671,-20.4232448701989,2004,2019,"slope","standard","standard","Northeast US Coastal"
-14.1983135039666,-27.7444891644124,1.92180346578156,2004,2019,"slope","standard","standard","Ontario"
