"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","mean_abundance","mean_observed","mean_n_surveys","region","start_year","end_year","species","region_type","trend_type","parameter"
-3.44002209459591,-7.75263218442042,2.30491033171022,-43.1755126551318,-70.1935834947555,40.749606113762,27.0147533829421,18.7989077704424,792.75,"Composite",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-1.67941397034781,-11.1239258569462,8.66657640116859,-23.9403931388207,-82.9480927161791,247.888272540278,1.38271156787305,6.72026515151515,6.25,"-144960_-317147",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-1.65785404712683,-9.3479182550992,6.73577611707348,-22.632681105425,-77.056058328684,165.859029946805,0.179861757570408,0.245232178687187,21.7,"-144960_-836762",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-0.341410654412422,-6.59903334654427,5.92664553200228,-5.76250251591432,-64.0854326925248,137.180125096512,0.662222886016824,0.861616161616162,7.61538461538461,"-1944960_1241699",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-2.30276395557761,-10.764684371157,6.47672643343399,-30.7314351016506,-81.8844513316404,156.342408618816,1.14108801096668,1.8,5,"-294960_-57339",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-5.14828880373468,-11.6214718581567,1.47943516513333,-54.9488312315152,-84.3252186209432,24.6437840116091,0.435892954191237,2.63809523809524,10.6,"1055040_202469",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
9.16039095557867,-1.4841893318412,22.3228072918302,252.072345528893,-20.0922262076745,1954.05867037476,44.8509296130952,26.2583754208754,8.11111111111111,"1205040_-1096569",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-8.29045045092925,-12.9417207809188,-3.68813468823822,-72.357497835015,-87.4930548759549,-43.088889743073,0.389085428881765,0.701330706256685,61.6,"1205040_462276",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
1.11656598330102,-8.65495889390472,12.541888543213,11.6244652295266,-74.2797822143545,488.454636979917,20.8878051907891,10.6666666666667,3.5,"1355040_-1356377",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-0.511827612702767,-9.05139924625282,9.71803758218143,-9.77353003127764,-75.9042533820287,301.948551860818,26.657739872482,3.20066137566138,8.125,"1355040_-836762",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-12.1154073688507,-14.8483586282824,-9.34126546196991,-85.6018681792862,-91.0278740224667,-77.0308568238276,0.60196588467422,2.0806013017074,89.0666666666667,"1355040_722084",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-7.28082251358813,-13.5024983369416,-0.860773623440872,-68.2391722272796,-88.6484945417696,-12.161907946755,8.52234727353717,1.22066822066822,7.6,"1505040_-576954",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-8.07111922631511,-14.4872487660455,-1.25004673211928,-72.0426521362921,-90.4398747368476,-17.1955872247489,0.0957028455680164,0.27034632034632,31.4285714285714,"1505040_462276",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-14.4123525246432,-21.3034938257927,-7.10279936168651,-90.4057825650239,-97.2500055086576,-66.8838827365643,33.8680346644726,126.229454022989,6,"1655040_-317147",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-6.07152456232883,-11.5701872321142,-0.373373067709964,-61.5165416693948,-84.1882247231469,-5.45652154891564,14.2389438654826,65.4086548987411,14.7857142857143,"1655040_202469",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-4.41800932790866,-9.446640374534,0.349321099023832,-48.6736112306148,-77.4280790045381,5.36990813339679,51.6918793269421,33.4854125886684,21.1428571428571,"1805040_-57339",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-3.71406856122997,-7.44030548637173,0.227489802412035,-43.5947015669229,-68.6434188621212,3.46722591286832,8.82987383928682,5.46671405563517,67.4375,"1805040_462276",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-5.10989566063347,-9.69805120444076,-0.2945077040993,-54.868591256959,-78.3500505588995,-4.32769515877961,7.79454160335938,10.3348192274163,38.9375,"1955040_722084",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-5.12457017866912,-8.86516794253978,-1.34728515272405,-54.7604869950179,-75.1534573872714,-18.4102469178464,217.133808887796,306.451244361244,19,"2105040_462276",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-15.7146093205229,-19.0911939996203,-12.3736156625093,-92.2771369657027,-95.8319118265623,-86.211296886822,6.00826032154858,12.1822160880236,114.0625,"2105040_981891",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-7.74552416385794,-10.9621155532951,-4.29796747711151,-70.2458466278211,-82.4764339092321,-48.2610704767457,15.4717238749037,23.9441071514295,107.6875,"2255040_1241699",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-9.32114817898086,-14.0815500551599,-4.26640496777726,-76.8486432663344,-89.7364746964571,-48.0044234362213,39.8785968794186,17.2629625129397,21.8666666666667,"2255040_722084",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
-1.85618999065315,-5.2790897007116,1.62895397824693,-24.3486696786777,-55.6709982006871,27.4271122249542,22.761197574696,21.0486185338646,94.0625,"2405040_981891",2004,2019,"Black-bellied Plover","hex_name","15-year","nsmooth"
