"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","trend_type","species","start_year","end_year","parameter","region","true_trend"
-1.70022045788604,-3.29409699068137,-0.211404108419873,-48.3759301756239,-72.9188935888679,-7.92206602100583,0.9890625,0.8475,0.4525,0.0453125,1522.53094663828,163.432702206333,124.875,"Long-term","Simulated_American Avocet",1980,2019,"NSmooth","Survey Wide",-1.30481565102073
-1.01764336294633,-5.15627674395909,3.05188433637024,-8.76271329728913,-41.1039783625415,35.0701475123009,0.7046875,0.106875,0.0065625,0,1126.12149315341,255.29794434719,47.4545454545455,"Recent-three-generation","Simulated_American Avocet",2009,2019,"NSmooth","Survey Wide",-1.30481565102073
-2.40860751052963,-5.44222968461799,0.267366293324814,-20.9757747879755,-42.855790485797,2.70606155867266,0.95875,0.2284375,0.001875,0,1342.59129626705,89.3435704133577,129.727272727273,"Previous-three-generation","Simulated_American Avocet",1999,2009,"NSmooth","Survey Wide",-1.30481565102073
-2.83842519347836,-5.36093535068788,-0.153098561327118,-68.3730884152962,-88.3386815580915,-5.80038744182731,0.98375,0.915,0.785,0.4615625,29.6065501005469,66.8559488261512,905.175,"Long-term","Simulated_Black-bellied Plover",1980,2019,"NSmooth","Survey Wide",-2.17869171476968
-1.99537802438445,-7.87586713991479,3.48112481940669,-16.7622387127842,-55.9714756601627,40.8028378650406,0.766875,0.2790625,0.055,0.0015625,16.8646501551136,31.8641725811603,768.363636363636,"Recent-three-generation","Simulated_Black-bellied Plover",2009,2019,"NSmooth","Survey Wide",-2.17869171476968
-3.96706166656008,-8.52568899832523,0.148401997994137,-33.1783633196271,-58.9803917698636,1.4939704556115,0.965,0.5671875,0.12,0.00125,22.9731763678977,67.3152642833962,942.363636363636,"Previous-three-generation","Simulated_Black-bellied Plover",1999,2009,"NSmooth","Survey Wide",-2.17869171476968
-2.83237326730643,-4.27050032267223,-1.49133502366906,-67.0277790972127,-81.7700373731203,-44.3451632369951,1,0.9959375,0.93375,0.3775,0.0618529703585938,0.335947948514751,594.15,"Long-term","Simulated_American Golden-Plover",1980,2019,"NSmooth","Survey Wide",-3.33757541920453
-2.76714115253243,-7.09606360521369,1.20646330145472,-23.7502327368943,-52.0993760365434,12.7411568846996,0.91625,0.34125,0.038125,0,0.0346340105710227,0.293048506109286,424.090909090909,"Recent-three-generation","Simulated_American Golden-Plover",2009,2019,"NSmooth","Survey Wide",-3.33757541920453
-4.08766345322105,-7.15818378368153,-1.40565269605046,-34.0157775094569,-52.4187028045806,-13.199912469328,0.9984375,0.653125,0.041875,0,0.0505821966335227,0.625678708630365,569.363636363636,"Previous-three-generation","Simulated_American Golden-Plover",1999,2009,"NSmooth","Survey Wide",-3.33757541920453
-0.690368308889263,-2.57932428917557,0.627452421648692,-17.8512074622259,-63.9093782982734,27.6270222667821,0.7809375,0.3528125,0.124375,0.0075,6.74734624640625,97.4101730281805,1026.75,"Long-term","Simulated_Semipalmated Plover",1980,2019,"NSmooth","Survey Wide",-0.963558417232855
-0.54703181304437,-4.93311655603871,3.23716190492583,-2.41563085192532,-39.7034322765345,37.5183250931287,0.618125,0.0628125,0.0090625,0,5.99020825056818,65.9203981059605,899.636363636364,"Recent-three-generation","Simulated_Semipalmated Plover",2009,2019,"NSmooth","Survey Wide",-0.963558417232855
-0.944066474804709,-4.31264305430689,1.41847894514536,-6.18202977121732,-35.6504381634876,15.1253418138817,0.7415625,0.0559375,0.0009375,0,6.44108130454545,107.597917189366,1097.09090909091,"Previous-three-generation","Simulated_Semipalmated Plover",1999,2009,"NSmooth","Survey Wide",-0.963558417232855
-0.887823339533355,-2.17168331347449,0.19879657454692,-28.7538923397415,-57.5264410531656,8.05323124496916,0.92625,0.4734375,0.09375,0,0.836636416960937,2.28744189218482,273.4,"Long-term","Simulated_Piping Plover",1980,2019,"NSmooth","Survey Wide",-1.46475292114413
-0.289476540307127,-3.13105366781695,2.55758858892689,-2.15281614917177,-27.2478623889645,28.7294786565856,0.590625,0.014375,0.000625,0,0.724232868409091,1.9356655144862,235.181818181818,"Recent-three-generation","Simulated_Piping Plover",2009,2019,"NSmooth","Survey Wide",-1.46475292114413
-1.03603520947509,-3.34630303628688,0.975824960316796,-9.25987748888084,-28.8483937225225,10.1981028888745,0.84,0.020625,0,0,0.775703782727273,1.86009904219593,303.181818181818,"Previous-three-generation","Simulated_Piping Plover",1999,2009,"NSmooth","Survey Wide",-1.46475292114413
-0.881743413854917,-3.29081643210768,0.689248301217801,-22.0029916719137,-72.8830421767052,30.7196412112675,0.7940625,0.4128125,0.2125,0.04375,49.9510567188281,32.9281149572171,865.7,"Long-term","Simulated_Killdeer",1980,2019,"NSmooth","Survey Wide",-1.62880651052898
-0.460368359405937,-5.15615526138547,3.79167613243706,-2.16323976140829,-41.1032255339059,45.0859155516394,0.595,0.0775,0.00875,0.000625,43.051630128125,14.3624119832795,667.454545454545,"Recent-three-generation","Simulated_Killdeer",2009,2019,"NSmooth","Survey Wide",-1.62880651052898
-1.18352921883229,-5.34358102070472,1.68598971949225,-7.72418306224328,-42.2568192036947,18.1983146436288,0.7471875,0.11375,0.006875,0,46.5302103494318,31.9553926617089,805.818181818182,"Previous-three-generation","Simulated_Killdeer",1999,2009,"NSmooth","Survey Wide",-1.62880651052898
