"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","region","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","start_year","end_year","species","region_type","trend_type","parameter","true_trend","prec"
-1.83382051399602,-3.66888210688819,-0.147849616644115,-51.2982567028607,-76.7245796506345,-5.6070708033091,0.98375,0.8503125,0.5340625,0.0871875,135.597449057765,163.432702206333,124.875,"Composite",NA,NA,NA,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",NA,1.23945872500001
-1.42017235548619,-3.78771328460533,1.08844953959624,-43.261589432851,-77.8184982990969,52.5316326636518,0.8734375,0.6590625,0.3896875,0.0978125,14.0110834514063,12.0801817699844,12,"-1194960_-576954",0.162426830308138,-0.60545693396829,1.03798530992077,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-0.243210126620796,0.646272588556783
-1.69651998503844,-3.59922392281685,0.159836240746509,-48.9261804323716,-76.059088286555,6.42670801714226,0.9615625,0.791875,0.4734375,0.0859375,1126.40104042969,1223.40228475228,9.75,"-144960_-317147",0.054236372582457,-0.145057908941047,0.269388479105766,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-1.15817459683962,1.08746072489343
-1.40221183588462,-3.11549069001015,0.239350888171047,-42.0693666588561,-70.8982251660124,9.77200417845208,0.953125,0.7284375,0.3271875,0.0303125,1.75920860125,4.59122618148881,34.1470588235294,"-144960_-836762",0.17124667718048,-0.379550795732466,0.797933782486977,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-0.0220744120660421,1.36530003210488
-2.24480151734618,-4.46389244711378,-0.290019139374656,-57.9544195565262,-83.1525503307424,-10.7092063194721,0.988125,0.91,0.6671875,0.209375,412.649884559375,1139.6146251312,14,"-294960_-57339",-0.164286614429501,-0.713691254730337,0.238037090181084,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-1.67222368018961,0.882050821982242
-1.56021978232689,-3.75733697135545,0.648893714387331,-45.9379924026574,-77.5437293414253,28.6919405233063,0.9303125,0.7471875,0.4215625,0.0803125,55.1066926866406,106.943354264783,10,"-894960_-576954",0.107797924799144,-0.45658412109011,0.762100189495975,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-0.342917054721215,0.791475858734216
-1.78690908522559,-4.2130857983717,0.742813230325643,-50.8166143117192,-81.3387321571826,33.4593196542241,0.930625,0.771875,0.5128125,0.1484375,0.0617520378553906,0.136002749551148,33.9130434782609,"1055040_202469",0.0170722148413044,-0.8247414595492,0.946348449615371,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-2.67146066958852,0.625643929505549
-1.29743691439136,-3.53923548396155,1.16203561194109,-40.2118930082275,-75.4711264120734,56.9223598813142,0.87125,0.6425,0.35,0.06125,10.1744413783516,18.775462962963,5.66666666666667,"1355040_-1356377",0.211356563555601,-0.567943823656125,1.16660650376533,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",0.622710812085603,0.695250874134991
-1.84437797902113,-3.96854506022054,0.316343869167201,-51.5668264633082,-79.3876807260273,13.1087343015721,0.95,0.806875,0.5328125,0.135625,0.919279868295312,0.509175850984733,30.3,"1655040_202469",-0.00506397227142528,-0.795647478827962,0.847251833096746,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-2.86592322087721,0.836937440155758
-2.18539067638308,-4.17993090763496,-0.450553175257431,-57.3563242181007,-81.0851566621596,-16.1476588710975,0.9940625,0.914375,0.655625,0.1884375,0.186875953314063,0.451378381315292,16.1666666666667,"1805040_-57339",-0.140212994916387,-0.916801470799726,0.583383876775626,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-2.35811469515653,1.10483999512094
-1.34440493822417,-3.41426734627053,0.995631035946505,-41.7252709709273,-74.2007987571659,47.1637804414273,0.8934375,0.67875,0.354375,0.0534375,5.89256197961719,249.629329004329,5.18181818181818,"5040_-1096569",0.193174013475818,-0.530439351185258,1.0846210721943,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",0.500599298044802,0.790159871016511
-1.72555129352709,-3.61118721243924,0.130455928277448,-49.0946079239887,-76.1746847377919,5.21599317317745,0.9675,0.81125,0.4803125,0.0828125,0.00455551709651445,0,7.08333333333333,"905040_-57339",0.0427915839660638,-0.51585739957903,0.659766627588302,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-2.06474921103991,1.09760835809382
-1.85471599251546,-4.11511941464256,0.641422631578708,-52.2633921052142,-80.5797349055272,28.3198726665786,0.93875,0.8075,0.546875,0.145625,0.00201223028715156,0.0101857864357864,19.7666666666667,"905040_462276",-0.00955199522124867,-0.799709557145929,0.840660011416866,1980,2019,"Simulated_American Avocet","hex_name","Long-term","nsmooth",-3.1776374397452,0.679187139374667
-0.930371719785592,-5.47224496945342,3.54553717943443,-8.84771479041182,-43.0369224954406,41.6817312848254,0.665,0.1290625,0.009375,0,96.4935224343976,255.29794434719,47.4545454545455,"Composite",NA,NA,NA,2009,2019,"Simulated_American Avocet","hex_name","Recent-three-generation","nsmooth",NA,0.188961207354788
